signal_id,company_domain,keyword_topic,intent_score,surge_level,signal_dt,source
INT-G8H54LRL54,raytheon.com,Zscaler,84,high,2024-12-02T10:20:01.131511,6sense
INT-SWX5HT3TAQ,zenith-foods.com,Netskope,35,low,2025-10-02T21:05:18.131511,6sense
INT-KXZBAJ3PC7,summit-motors.com,CrowdStrike,19,low,2024-08-24T09:24:57.131511,6sense
INT-B6E0D2H7WB,spotify.com,Zscaler,78,high,2025-02-18T16:25:13.131511,6sense
INT-WBIG9TTRY0,lighthouse-ventures-2.com,data loss prevention,67,med,2023-07-09T19:16:51.131511,6sense
INT-AT82PFGA2L,redwood-ai-1.com,data loss prevention,39,low,2023-06-10T11:13:56.131511,6sense
INT-Q3ZE2HNUBM,state-farm.com,Netskope,54,med,2023-01-16T20:27:45.131511,6sense
INT-BQYHHCP1TF,zenith-retail.com,Zscaler,71,high,2023-07-07T11:41:21.131511,6sense
INT-ZMPJSHPICF,truenorth-industries-2.com,insider risk,90,high,2024-11-30T21:25:33.131511,6sense
INT-ZM4BPUBDMH,truenorth-energy-3.com,enterprise browser security,38,low,2022-12-17T07:44:23.131511,6sense
INT-LIJVDLCFBP,horizon-insurance.com,SSE,77,high,2023-08-08T21:00:04.131511,6sense
INT-MPJR6ZO0JQ,orion-analytics-1.com,CASB,19,low,2022-11-11T20:45:35.131511,6sense
INT-5DP1J88I21,aurora-foods.com,enterprise browser security,15,low,2023-12-31T16:53:55.131511,6sense
INT-JYJPUZQA2Q,redwood-partners-1.com,CASB,59,med,2023-09-02T22:23:37.131511,6sense
INT-0OJWHVVDPJ,ironclad-materials-3.com,CASB,27,low,2024-07-02T07:51:11.131511,6sense
INT-RPYR62MVNH,truenorth-ai.com,Talon,78,high,2023-05-12T22:38:44.131511,6sense
INT-7KPKKPTEUD,oakridge-energy.com,CASB,80,high,2025-08-08T21:09:07.131511,6sense
INT-OTZ0GCC8JW,summit-industries.com,zero trust,86,high,2024-11-23T20:47:57.131511,6sense
INT-COOTQWNLLK,northstar-studios.com,identity security,39,low,2024-04-07T08:49:05.131511,6sense
INT-NNY069WROH,blueriver-ai-1.com,insider risk,61,med,2023-08-25T04:39:23.131511,6sense
INT-BIT94WG3BJ,vertex-materials-1.com,enterprise browser security,49,med,2023-05-19T06:47:42.131511,6sense
INT-10ZVNEI2B2,northstar-retail-1.com,Netskope,29,low,2024-06-21T06:03:19.131511,6sense
INT-2FWF1G657L,ironclad-retail.com,Talon,83,high,2025-04-19T23:15:50.131511,6sense
INT-UHPQRFJQ9W,quantum-energy.com,CASB,80,high,2023-03-07T18:36:52.131511,6sense
INT-ZCY0R5C808,lighthouse-holdings.com,identity security,97,high,2023-11-19T23:52:18.131511,6sense
INT-C2XQE8YGTH,maple-labs-2.com,CrowdStrike,59,med,2023-01-03T07:06:14.131511,6sense
INT-E35NDC1V5H,northstar-insurance.com,Netskope,91,high,2023-11-13T22:37:34.131511,6sense
INT-6E03YJ335A,orion-studios-2.com,enterprise browser security,63,med,2025-08-07T04:13:08.131511,6sense
INT-VCKEQYEUUE,maple-motors.com,insider risk,66,med,2023-10-22T01:57:04.131511,6sense
INT-74AWMDRD1R,sapphire-bank-1.com,CASB,15,low,2025-08-21T23:11:57.131511,6sense
INT-Z7GY6WQOU3,lighthouse-capital-1.com,data loss prevention,53,med,2025-09-25T11:58:29.131511,6sense
INT-3QYI3VSOPW,lowe-s.com,Island,19,low,2025-06-23T10:18:18.131511,6sense
INT-U370TLOUBM,horizon-consulting-3.com,SSE,17,low,2025-10-20T18:51:19.131511,6sense
INT-42I0BAXST6,oakridge-capital.com,CrowdStrike,31,low,2024-09-30T01:19:23.131511,6sense
INT-AEPZO0H7KF,northstar-ai.com,enterprise browser security,91,high,2025-07-25T14:08:07.131511,6sense
INT-LAUUDCGQBI,greenleaf-ai-1.com,DLP,39,low,2025-06-05T02:41:43.131511,6sense
INT-X7MQFE8XH1,lighthouse-materials.com,Zscaler,89,high,2024-04-23T09:40:57.131511,6sense
INT-FK1M62LTT2,blueriver-capital-1.com,SSE,77,high,2025-05-23T23:10:32.131511,6sense
INT-C7HPR4IG9V,horizon-motors-1.com,CASB,76,high,2023-02-23T11:53:53.131511,6sense
INT-5NR98PY7O4,primegate-pharma.com,Netskope,20,low,2023-04-05T15:41:47.131511,6sense
INT-DJC2TQ7WQF,silverline-mining.com,enterprise browser security,87,high,2025-05-24T10:22:49.131511,6sense
INT-O02NQ4R4N4,zenith-hotels-1.com,insider risk,14,low,2024-01-29T13:58:20.131511,6sense
INT-33ZGVAA1TS,sapphire-consulting.com,identity security,56,med,2024-10-25T21:44:16.131511,6sense
INT-34W0FMPJ3K,blueriver-mining-2.com,insider risk,18,low,2025-09-24T08:06:12.131511,6sense
INT-PX51P78HW6,truenorth-studios.com,DLP,95,high,2025-09-01T20:27:50.131511,6sense
INT-SN2BLIQKQ7,xerox.com,Zscaler,60,med,2025-03-26T14:05:59.131511,6sense
INT-0VQZMBDXN6,sapphire-holdings.com,Talon,23,low,2023-07-10T11:39:49.131511,6sense
INT-Z1K104ZD24,ford.com,CrowdStrike,82,high,2024-04-25T09:26:53.131511,6sense
INT-7O4MG7I21G,totalenergies.com,CASB,90,high,2025-10-05T14:46:05.131511,6sense
INT-KVZNPA6SYW,silverline-labs.com,Talon,18,low,2023-09-04T09:48:36.131511,6sense
INT-30H1L2APBR,oakridge-labs.com,data loss prevention,22,low,2024-01-09T05:21:27.131511,6sense
INT-JS6XAUJDPC,sapphire-logistics.com,identity security,95,high,2023-03-24T19:14:59.131511,6sense
INT-81ZCYGKLEK,everest-logistics-1.com,Talon,39,low,2024-07-19T18:44:20.131511,6sense
INT-NW5N0RKNGY,vertex-foods.com,Island,28,low,2023-04-11T03:55:12.131511,6sense
INT-R7A17JNYL8,silverline-hotels.com,Netskope,77,high,2024-01-29T18:36:50.131511,6sense
INT-D60PBGH1PX,spotify.com,CrowdStrike,61,med,2025-03-20T11:22:42.131511,6sense
INT-B02TZBP012,vertex-analytics.com,Zscaler,81,high,2025-07-26T08:56:09.131511,6sense
INT-QHMV2OOAN7,redwood-biotech-1.com,data loss prevention,35,low,2022-12-09T18:15:30.131511,6sense
INT-9XT4611NM3,amazon.com,identity security,23,low,2025-08-20T23:44:12.131511,6sense
INT-1USQTVUDDY,blueriver-retail.com,Netskope,18,low,2024-09-01T18:11:06.131511,6sense
INT-ELWLD476CS,clearview-aerospace-1.com,Talon,58,med,2025-08-11T00:04:26.131511,6sense
INT-PPDW63PE17,lighthouse-materials-1.com,Island,40,med,2023-04-09T05:03:04.131511,6sense
INT-SV3TJKKUEQ,greenleaf-logistics-1.com,identity security,87,high,2023-09-11T04:43:13.131511,6sense
INT-R3GTT37EH3,raytheon.com,CASB,60,med,2024-07-22T02:51:57.131511,6sense
INT-LC7D625B08,northstar-telecom-2.com,zero trust,13,low,2025-04-17T05:39:28.131511,6sense
INT-UIKYJ4K9WB,summit-systems.com,SSE,86,high,2024-06-04T09:16:36.131511,6sense
INT-3QETQRE9IO,oakridge-capital.com,Talon,75,high,2023-07-02T16:28:05.131511,6sense
INT-3CG4VC1RFH,zenith-hotels-2.com,data loss prevention,27,low,2023-01-28T23:41:11.131511,6sense
INT-56MV7F1X8P,zenith-consulting-1.com,Talon,54,med,2023-07-30T06:27:35.131511,6sense
INT-1T0EVXT2E9,oakridge-partners.com,insider risk,25,low,2024-11-24T19:34:48.131511,6sense
INT-7OA94JG1TU,zenith-foods-1.com,DLP,14,low,2025-01-24T19:45:18.131511,6sense
INT-I3KXVRDAJR,maple-analytics-1.com,CrowdStrike,20,low,2023-02-18T10:19:40.131511,6sense
INT-D6U610GE6L,sapphire-bank-2.com,identity security,93,high,2023-11-05T10:02:22.131511,6sense
INT-L493KFVQ9V,clearview-ventures-4.com,insider risk,49,med,2023-03-26T04:37:44.131511,6sense
INT-6CKXS6NAK8,clearview-ai-2.com,Talon,69,med,2023-02-04T04:30:01.131511,6sense
INT-29KT5FEGIT,truenorth-biotech.com,identity security,17,low,2022-11-11T03:39:02.131511,6sense
INT-F17QBKD2RN,summit-pharma-3.com,CASB,92,high,2024-12-13T04:09:51.131511,6sense
INT-T4NKYQUB7N,sequoia-partners.com,Talon,28,low,2023-08-30T00:22:17.131511,6sense
INT-ZPXK5VY03Y,horizon-analytics-1.com,identity security,44,med,2023-08-07T20:48:02.131511,6sense
INT-TZSI4Q4EQH,okta.com,Netskope,72,high,2024-08-20T02:32:02.131511,6sense
INT-9T7O3TRV5P,horizon-systems-1.com,CrowdStrike,77,high,2025-03-10T07:40:56.131511,6sense
INT-0SB4QWNNI6,northstar-telecom-2.com,zero trust,32,low,2025-05-01T07:27:23.131511,6sense
INT-PINEFZR8EU,primegate-labs.com,insider risk,94,high,2022-11-05T20:32:36.131511,6sense
INT-3TAXOX4Q27,quantum-energy-1.com,Island,89,high,2025-02-25T15:15:04.131511,6sense
INT-TXB9A2GX6H,greenleaf-analytics.com,insider risk,30,low,2022-12-22T17:05:43.131511,6sense
INT-CEMKSJICHR,blueriver-capital-2.com,Zscaler,48,med,2024-11-24T09:27:33.131511,6sense
INT-E51WG2NZ8A,everest-labs-1.com,Zscaler,22,low,2025-01-20T11:15:23.131511,6sense
INT-5JK1L2G5QE,orion-consulting-5.com,Talon,52,med,2025-02-12T04:33:12.131511,6sense
INT-1ZBS00710D,silverline-biotech-1.com,insider risk,65,med,2023-02-22T05:56:22.131511,6sense
INT-6JK9H311C7,hyperion-logistics-1.com,enterprise browser security,24,low,2024-03-27T08:58:03.131511,6sense
INT-MRHYU6U2X2,workday.com,CASB,44,med,2024-06-01T05:50:33.131511,6sense
INT-96S4L51QM0,clearview-insurance-1.com,SSE,58,med,2024-09-24T20:53:10.131511,6sense
INT-4D08JHISOQ,blueriver-mining-1.com,Netskope,33,low,2023-11-03T01:22:54.131511,6sense
INT-CBSQDGQBCE,doordash.com,Zscaler,82,high,2023-03-19T18:42:40.131511,6sense
INT-B961V21D9F,orion-consulting-5.com,DLP,25,low,2024-03-04T01:47:45.131511,6sense
INT-9Y8OZVDT63,blueriver-foods.com,Zscaler,68,med,2023-04-04T09:42:53.131511,6sense
INT-CLQEF44Y7S,truenorth-foods-1.com,insider risk,80,high,2025-07-26T03:02:23.131511,6sense
INT-YRP9TYW66B,summit-ai.com,Talon,83,high,2023-06-21T00:50:48.131511,6sense
INT-JTI4V784F7,ironclad-studios.com,CrowdStrike,68,med,2025-05-04T02:17:49.131511,6sense
INT-BTZKYCVQ3H,vertex-analytics-3.com,Netskope,88,high,2025-04-28T03:59:46.131511,6sense
INT-FGPP306K7Y,onyx-bank.com,SSE,58,med,2023-06-19T12:46:26.131511,6sense
INT-PJ69T9ODWA,silverline-studios.com,CASB,62,med,2023-05-11T22:34:02.131511,6sense
INT-Q18UPH3ZYN,everest-pharma.com,SSE,28,low,2023-06-09T22:32:34.131511,6sense
INT-IP9GAPYC2V,blueriver-materials-3.com,identity security,85,high,2022-11-01T22:44:23.131511,6sense
INT-VNXW8SV84U,onyx-industries.com,enterprise browser security,44,med,2024-04-19T21:48:09.131511,6sense
INT-LON4USICHF,zenith-retail.com,SSE,99,high,2023-04-03T20:09:43.131511,6sense
INT-HPQMLOR1XR,summit-studios-2.com,CrowdStrike,99,high,2025-01-12T00:16:14.131511,6sense
INT-7O5Z4US3BI,lighthouse-holdings.com,Zscaler,30,low,2024-08-03T04:59:14.131511,6sense
INT-KHGOBLX6JM,sapphire-retail.com,data loss prevention,19,low,2025-06-27T20:23:39.131511,6sense
INT-QWWN1NIOZL,oracle.com,insider risk,16,low,2025-08-17T20:25:29.131511,6sense
INT-TZW2S8VMTX,ironclad-systems-4.com,DLP,64,med,2025-06-11T15:33:29.131511,6sense
INT-T1F7FMF4C8,vertex-biotech-1.com,zero trust,33,low,2024-03-19T05:39:40.131511,6sense
INT-ZWIJNHGGQI,vertex-analytics-2.com,Netskope,59,med,2024-11-13T17:34:10.131511,6sense
INT-IJYSGG45JJ,aurora-ventures-1.com,Talon,75,high,2024-11-03T16:10:52.131511,6sense
INT-PNI40OOGGC,zenith-aerospace.com,Netskope,89,high,2024-04-18T15:33:14.131511,6sense
INT-09FZ9U6KB4,northstar-systems.com,Talon,87,high,2022-12-16T19:50:26.131511,6sense
INT-DJP6U7DP7V,truenorth-capital-1.com,identity security,37,low,2024-05-11T01:19:25.131511,6sense
INT-5R2PFUNU66,aurora-ventures-1.com,CASB,34,low,2025-05-10T08:55:13.131511,6sense
INT-4GOH5BLF8T,zenith-insurance.com,Netskope,86,high,2024-07-28T16:21:04.131511,6sense
INT-PP1KAK1QHY,okta.com,Talon,43,med,2024-11-12T14:01:10.131511,6sense
INT-M5P8DYOHEI,apple.com,Island,22,low,2023-04-12T21:17:19.131511,6sense
INT-ABZBL6EABQ,orion-analytics.com,zero trust,70,high,2024-11-22T20:14:34.131511,6sense
INT-RXAC4ALZYK,citigroup.com,Talon,11,low,2023-11-01T01:28:33.131511,6sense
INT-JDDFX0STQV,vertex-analytics.com,enterprise browser security,97,high,2023-04-21T19:29:09.131511,6sense
INT-UXJZDYZXJ6,redwood-pharma-3.com,SSE,51,med,2023-05-07T21:15:23.131511,6sense
INT-BOHXQBYX58,zenith-foods.com,Island,37,low,2023-12-28T17:34:49.131511,6sense
INT-EBPBYJH4S4,quantum-partners-1.com,zero trust,85,high,2023-08-10T16:15:29.131511,6sense
INT-PSJY4PLMX1,splunk.com,zero trust,14,low,2023-10-20T01:03:40.131511,6sense
INT-EZ924TZYP2,greenleaf-materials-1.com,Netskope,66,med,2023-11-28T23:30:10.131511,6sense
INT-HBZO2D1YK2,vertex-ai.com,Talon,55,med,2022-11-26T16:50:39.131511,6sense
INT-PYACPK35M7,ge.com,data loss prevention,42,med,2023-10-17T06:34:50.131511,6sense
INT-891VT9AGZY,maple-partners-1.com,Zscaler,55,med,2024-02-21T10:35:22.131511,6sense
INT-RQRMKSG5DY,sequoia-foods-2.com,CASB,43,med,2024-03-11T00:38:54.131511,6sense
INT-QR38CR84SN,greenleaf-retail-1.com,CrowdStrike,14,low,2023-07-23T14:12:47.131511,6sense
INT-GONU7DFIK9,qualcomm.com,CASB,27,low,2023-10-19T10:03:53.131511,6sense
INT-Q6YHSJ166D,ironclad-studios.com,DLP,96,high,2023-06-01T05:00:52.131511,6sense
INT-GFX4HUETLX,sapphire-capital.com,CrowdStrike,91,high,2023-04-30T15:30:04.131511,6sense
INT-5O2RPENF4S,horizon-partners.com,Netskope,87,high,2024-07-14T16:58:34.131511,6sense
INT-D7TTD6FWTO,aurora-bank-1.com,Talon,28,low,2025-02-09T10:56:14.131511,6sense
INT-0CPKR730P1,truenorth-industries-1.com,data loss prevention,67,med,2025-01-02T16:40:11.131511,6sense
INT-UA54B9ALOW,aurora-motors.com,Netskope,69,med,2024-03-18T09:25:13.131511,6sense
INT-IQILVG02WZ,aurora-hotels-2.com,data loss prevention,25,low,2023-05-01T07:37:17.131511,6sense
INT-L3X7VDCEUW,lg.com,DLP,86,high,2024-10-10T19:39:21.131511,6sense
INT-PEG8JKLAIK,greenleaf-motors-2.com,zero trust,74,high,2024-07-11T06:46:44.131511,6sense
INT-FT09P0PY13,orion-labs.com,DLP,95,high,2024-06-05T06:10:36.131511,6sense
INT-RH0AP9VUUB,lighthouse-consulting.com,Island,82,high,2024-02-29T10:39:36.131511,6sense
INT-GO7LCPXUYM,blueriver-retail.com,Zscaler,31,low,2024-02-27T17:25:43.131511,6sense
INT-HUMWXKE0UC,anthem.com,identity security,73,high,2023-06-11T12:42:06.131511,6sense
INT-25C1PH5UN3,ironclad-retail-1.com,SSE,14,low,2023-09-16T02:30:08.131511,6sense
INT-Z653VAYXAN,maple-mining-1.com,Talon,51,med,2025-10-05T03:55:12.131511,6sense
INT-LSV81MLI2M,northstar-insurance.com,DLP,47,med,2023-05-25T11:26:11.131511,6sense
INT-V48EWQ3UHA,oakridge-capital-1.com,DLP,84,high,2023-11-17T21:51:44.131511,6sense
INT-MMVZNJSQVH,zenith-partners.com,CrowdStrike,26,low,2023-01-18T08:18:14.131511,6sense
INT-MQGRXPBOAQ,northstar-telecom-2.com,CASB,75,high,2022-11-22T20:01:24.131511,6sense
INT-AJBRV2GKC1,state-farm.com,SSE,38,low,2025-05-17T08:55:25.131511,6sense
INT-AEMBHFPU1V,greenleaf-telecom.com,data loss prevention,30,low,2023-01-22T16:56:42.131511,6sense
INT-D80DML1PAX,cisco.com,enterprise browser security,87,high,2025-03-26T00:02:26.131511,6sense
INT-5P3V9XRGBL,onyx-foods.com,CrowdStrike,72,high,2023-01-27T03:56:47.131511,6sense
INT-LKSQ7K0DY9,oakridge-ai-1.com,insider risk,46,med,2024-09-04T06:53:42.131511,6sense
INT-DA3SHZ1ZB3,quantum-ai-1.com,enterprise browser security,58,med,2025-02-07T22:07:22.131511,6sense
INT-GLKDZZUAJI,summit-ventures-1.com,enterprise browser security,87,high,2023-04-25T07:43:34.131511,6sense
INT-ZQKVCGG3KI,quantum-energy-1.com,Island,13,low,2025-06-17T18:46:02.131511,6sense
INT-W4YBLBEINL,blueriver-foods-1.com,Netskope,38,low,2022-10-24T18:17:15.131511,6sense
INT-AP1KH504OD,redwood-ai-1.com,DLP,66,med,2025-06-19T02:36:08.131511,6sense
INT-71JR3MNHN7,blueriver-ai.com,SSE,78,high,2025-05-12T09:13:16.131511,6sense
INT-K8PFJPIAVE,ironclad-logistics-1.com,Netskope,63,med,2025-05-23T19:22:21.131511,6sense
INT-8M1J8DOWE4,blueriver-analytics-2.com,Talon,77,high,2025-03-30T21:21:25.131511,6sense
INT-R3YUZXEDD3,redwood-insurance.com,DLP,73,high,2022-10-27T21:12:12.131511,6sense
INT-XR379ETY1O,orion-hotels.com,Island,25,low,2023-12-25T20:55:47.131511,6sense
INT-6K4GO7LCAE,orion-biotech-1.com,Island,93,high,2023-10-15T08:57:22.131511,6sense
INT-ICU85ZC613,primegate-mining-1.com,Talon,36,low,2025-07-13T22:51:30.131511,6sense
INT-GEWEYUJHD1,crescent-ventures.com,SSE,36,low,2025-05-22T22:23:44.131511,6sense
INT-RO8WR2S7CG,silverline-partners.com,zero trust,87,high,2024-12-07T05:08:16.131511,6sense
INT-8O17XD6NI3,adobe.com,insider risk,61,med,2025-06-20T13:35:11.131511,6sense
INT-UM1QWO5558,mercedes-benz.com,insider risk,65,med,2025-02-28T01:51:11.131511,6sense
INT-O52LKSZZDA,vertex-ai.com,enterprise browser security,36,low,2025-04-16T09:45:58.131511,6sense
INT-1FDG4ICPX8,blueriver-materials-2.com,insider risk,92,high,2024-08-24T14:27:55.131511,6sense
INT-AS0SE211ZC,maple-holdings-1.com,DLP,86,high,2025-01-17T22:36:07.131511,6sense
INT-UN2QPG4V4U,hyperion-aerospace-1.com,zero trust,87,high,2023-10-14T17:54:56.131511,6sense
INT-X2WC5IHI6E,horizon-materials-1.com,Talon,60,med,2023-11-13T20:10:02.131511,6sense
INT-KR8JC566QV,crescent-pharma.com,CASB,71,high,2024-04-10T09:28:01.131511,6sense
INT-XNKJVHTT82,lighthouse-energy.com,zero trust,93,high,2024-04-21T22:09:44.131511,6sense
INT-4VFIDYOJ9L,everest-industries.com,CrowdStrike,63,med,2025-10-19T22:32:35.131511,6sense
INT-VDMX5MLIM0,everest-bank-2.com,Island,88,high,2025-10-01T03:00:13.131511,6sense
INT-48UF6RGGRL,everest-logistics.com,identity security,99,high,2024-10-03T22:38:45.131511,6sense
INT-4CMJBSS8HM,orion-consulting-1.com,insider risk,72,high,2024-10-13T09:02:16.131511,6sense
INT-ZBYO3IURCU,stripe.com,CrowdStrike,59,med,2025-01-07T21:26:57.131511,6sense
INT-Y6RP6M6LGG,vertex-ai.com,Zscaler,35,low,2024-04-25T21:39:36.131511,6sense
INT-54L3AXPW71,johnson---johnson.com,enterprise browser security,15,low,2024-05-05T14:11:38.131511,6sense
INT-RP10C6C8RS,lighthouse-systems-1.com,DLP,70,high,2023-06-27T12:26:28.131511,6sense
INT-EZT7CE98MF,redwood-insurance.com,CrowdStrike,14,low,2025-03-15T00:02:51.131511,6sense
INT-7HANZB2CNF,orion-hotels-1.com,CASB,89,high,2024-04-27T05:07:48.131511,6sense
INT-1RKQTU9DEQ,redwood-labs-1.com,Talon,20,low,2024-10-12T02:52:00.131511,6sense
