opportunity_id,account_id,amount,is_won,call_count_during,email_count_during,meeting_count_during,total_activity_count_during,campaign_activity_count,activity_velocity,days_to_first_activity,days_since_last_activity,avg_intent_score_during,max_intent_score_during,high_surge_count_during,medium_surge_count_during,unique_intent_topics,had_competitor_intent,had_pricing_intent,total_email_threads,inbound_email_count,outbound_email_count,exec_involvement_count,unique_email_threads,email_response_rate,total_marketing_events_during,total_score_delta_during,avg_score_delta_during,unique_marketing_visitors,webinar_attended_count,content_download_count,demo_request_count,pricing_page_visits,integration_page_visits,case_study_views,total_engagement_duration,contact_count_total,executive_count,vp_count,director_count,manager_count,decision_maker_count,influencer_count,champion_count,zoominfo_exec_count,multi_threading_score,was_customer_before,previous_deal_count,previous_wins_count,previous_losses_count,historical_win_rate,total_historical_revenue,avg_historical_deal_size,days_since_last_win,days_since_last_loss,engagement_trend,velocity_change,intent_momentum,urgency,is_stalled,recent_activity_count,previous_activity_count,recent_intent_score,previous_intent_score,is_renewal,is_expansion,is_new_logo,days_to_renewal,opportunity_type,days_since_first_contact,persona_coverage,committee_diversity_score,has_c_level,has_decision_maker,has_champion,industry_Education,industry_Energy,industry_Finance,industry_Gaming,industry_Healthcare,industry_Manufacturing,industry_Media,industry_Retail,industry_Software,industry_Telecom,employee_band_1-50,employee_band_1001-5000,employee_band_201-500,employee_band_5001+,employee_band_501-1000,employee_band_51-200,region_APJ,region_EMEA,region_LATAM,engagement_intensity,activity_per_contact,decision_maker_ratio,deal_size_category,high_value_new_logo,is_highly_engaged,is_multi_threaded,is_marketing_qualified,is_intent_qualified,has_executive_involvement,velocity_score
OPP-DC3PZ1Y2,ACC-A10QET7W,48386,0,0,0,0,12,6,0.21052631578947367,16,0,0.0,0,0,0,0,0,0,1,0,1,0,1,0.0,1,3,3.0,1,0,0,0,0,0,1,4602,4,0,1,0,2,1,2,0,1,4.5,0,0,0,0,0.0,0,0.0,9999,9999,STABLE,0.0,0.0,LOW,0,2,2,0.0,0.0,0,0,1,821,new_logo,5,0.6666666666666666,0.75,1,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,3.0,0.25,1.0,0,0,1,0,0,0,0.8421052631578947
OPP-7Z1C05WF,ACC-G33TPIXD,45435,0,0,0,0,10,3,0.20833333333333334,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,2,0,1,3.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,1.0,0.0,LOW,0,2,1,0.0,0.0,0,0,1,393,new_logo,600,0.6666666666666666,0.75,1,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,0.0,2.5,0.25,1.0,0,0,1,0,0,0,0.8333333333333334
OPP-54Z24IG9,ACC-A0CU0873,64380,0,0,0,0,10,3,0.009478672985781991,112,145,56.0,99,2,1,4,0,0,5,0,5,0,5,0.0,6,41,6.833333333333333,2,1,0,0,3,0,1,15001,4,0,1,1,1,3,1,0,2,10.5,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,1.0,51.0,LOW,1,1,0,51.0,0.0,0,0,1,9999,new_logo,0,1.0,0.75,1,1,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,0.0,2.5,0.75,2.0,1,0,1,1,1,0,0.037914691943127965
OPP-R8HXWMY4,ACC-JRCQAC35,57732,1,0,0,0,17,4,0.4358974358974359,0,1,0.0,0,0,0,0,0,0,1,0,1,0,1,0.0,1,5,5.0,1,0,0,0,1,0,0,4543,4,0,1,1,2,2,1,0,1,7.5,1,1,1,0,1.0,25170,25170.0,446,9999,INCREASING,0.25,0.0,LOW,0,5,4,0.0,0.0,0,1,0,9999,expansion,887,1.0,0.75,1,1,0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,0.0,4.25,0.5,1.0,0,1,1,0,0,0,1.7435897435897436
OPP-763P5MAK,ACC-PUWTIQ9I,31343,0,0,0,0,5,2,0.03571428571428571,1,43,85.0,85,1,0,1,0,0,2,0,2,0,2,0.0,1,1,1.0,1,0,0,0,1,0,0,4687,4,0,0,3,0,4,0,0,1,12.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,1.0,85.0,LOW,1,1,0,85.0,0.0,0,0,1,255,new_logo,923,0.6666666666666666,0.5,1,1,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.0,1.25,1.0,1.0,0,0,1,0,1,0,0.14285714285714285
OPP-HHXTG1ZJ,ACC-J0780B7L,57934,0,0,0,0,5,1,0.005841121495327103,46,108,47.0,72,1,2,5,0,0,6,0,6,0,6,0.0,6,61,10.166666666666666,3,0,0,0,2,0,2,12696,4,0,1,2,0,3,1,0,2,10.5,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,1.0,54.0,LOW,1,1,0,54.0,0.0,0,0,1,1025,new_logo,160,0.6666666666666666,0.5,1,1,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,1.25,0.75,1.0,0,0,1,1,1,0,0.02336448598130841
OPP-UMGGNAOX,ACC-V22BZ8JD,165027,0,0,0,0,20,12,0.4166666666666667,3,2,0.0,0,0,0,0,0,0,1,0,1,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,1,0,1,3.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,0.5,0.0,LOW,0,6,4,0.0,0.0,0,0,1,9999,new_logo,280,0.6666666666666666,0.75,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,5.0,0.25,3.0,1,1,1,0,0,0,1.6666666666666667
OPP-H5H1IACC,ACC-Q3ZXXM74,47648,0,0,0,0,17,3,0.5,0,3,68.0,68,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,1,0,2,1,2,0,1,4.5,0,0,0,0,0.0,0,0.0,9999,9999,STABLE,0.2,68.0,LOW,0,6,5,68.0,0.0,0,0,1,427,new_logo,711,0.6666666666666666,0.75,1,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.0,4.25,0.25,1.0,0,1,1,0,0,0,2.0
OPP-G3ZHX3GW,ACC-GNHZI55S,20101,0,0,0,0,14,2,0.3783783783783784,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,1,1,1,2,1,0,1,7.5,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,0.5,0.0,LOW,0,3,2,0.0,0.0,0,0,1,9999,new_logo,0,1.0,1.0,1,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.0,3.5,0.5,0.0,0,1,1,0,0,0,1.5135135135135136
OPP-H55HP2D8,ACC-K0MDIOTE,101025,0,0,0,0,7,1,0.1346153846153846,17,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,1,0,2,6.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,2.0,0.0,LOW,0,3,1,0.0,0.0,0,0,1,9999,new_logo,249,0.6666666666666666,0.75,1,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0.0,1.75,0.5,3.0,1,0,1,0,0,0,0.5384615384615384
OPP-L8LCTNLT,ACC-MUMLUGZI,102583,0,0,0,0,15,1,0.36585365853658536,2,2,0.0,0,0,0,0,0,0,1,0,1,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,1,2,0,3,1,0,2,10.5,1,1,1,0,1.0,125421,125421.0,70,9999,DECREASING,-0.5,0.0,HIGH,0,2,4,0.0,0.0,0,1,0,1055,expansion,203,0.6666666666666666,0.5,1,1,0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,0.0,3.75,0.75,3.0,0,1,1,0,0,0,1.4634146341463414
OPP-V7VNIJQ6,ACC-OULHP4R9,190052,1,0,0,0,20,6,0.36363636363636365,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,1,1,1,2,0,0,1,7.5,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,3.0,0.0,LOW,0,4,1,0.0,0.0,0,1,0,9999,expansion,0,1.0,1.0,1,1,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0,5.0,0.5,3.0,0,1,1,0,0,0,1.4545454545454546
OPP-PHAVXNHS,ACC-ILGUS45O,34551,1,0,0,0,6,4,0.10714285714285714,1,14,54.0,54,0,1,1,0,0,1,0,1,0,1,0.0,1,6,6.0,1,0,0,0,0,0,1,1121,4,0,0,1,1,1,2,0,0,3.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,1.0,54.0,LOW,0,2,0,54.0,0.0,0,0,1,800,new_logo,0,0.6666666666666666,0.75,0,1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.0,1.5,0.25,1.0,0,0,1,0,0,0,0.42857142857142855
OPP-VKFNPJ8M,ACC-SWS3SEKY,58740,0,0,0,0,12,2,0.011204481792717087,36,103,62.666666666666664,91,1,1,3,0,0,6,0,6,0,6,0.0,11,85,7.7272727272727275,4,0,0,0,10,0,0,35235,4,0,1,0,0,2,1,0,2,7.5,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,1.0,69.0,LOW,1,1,0,69.0,0.0,0,0,1,1316,new_logo,0,0.3333333333333333,0.5,1,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.0,3.0,0.5,1.0,0,0,1,1,1,0,0.04481792717086835
OPP-70OOOVQ6,ACC-5FRLE6G9,40771,1,0,0,0,19,7,0.4318181818181818,2,0,0.0,0,0,0,0,0,0,1,0,1,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,2,0,2,6.0,0,0,0,0,0.0,0,0.0,9999,9999,STABLE,0.0,0.0,LOW,0,4,4,0.0,0.0,0,0,1,1403,new_logo,101,0.6666666666666666,0.75,1,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.0,4.75,0.5,1.0,0,1,1,0,0,0,1.7272727272727273
OPP-HGBE3O5G,ACC-5IASSXQ3,70280,0,0,0,0,14,3,0.4666666666666667,0,28,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,0,3.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,1.0,0.0,LOW,0,14,0,0.0,0.0,0,0,1,9999,new_logo,631,0.6666666666666666,0.75,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.0,3.5,0.25,2.0,1,1,1,0,0,0,1.8666666666666667
OPP-GBSUURAO,ACC-6C0A393Q,24871,0,0,0,0,5,0,0.004965243296921549,561,296,31.857142857142858,59,0,2,6,1,0,29,0,29,0,29,0.0,2,20,10.0,2,1,0,0,0,0,1,6151,4,0,2,1,1,3,1,0,2,12.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,1.0,10.0,LOW,1,1,0,10.0,0.0,0,0,1,1191,new_logo,0,1.0,0.75,1,1,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,0.0,1.25,0.75,0.0,0,0,1,0,0,0,0.019860973187686197
OPP-GV2C5UN2,ACC-NAL7Z3RR,18175,0,0,0,0,13,4,0.2708333333333333,0,5,65.0,65,0,1,1,1,0,1,0,1,0,1,0.0,1,5,5.0,1,0,0,0,1,0,0,255,4,0,2,0,1,2,1,0,2,9.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,1.0,65.0,LOW,0,2,1,65.0,0.0,0,0,1,9999,new_logo,367,0.6666666666666666,0.75,1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,3.25,0.5,0.0,0,1,1,0,0,0,1.0833333333333333
OPP-NPLINL7D,ACC-1AP0QUWQ,206601,0,0,0,0,7,1,0.0077348066298342545,31,88,45.166666666666664,74,1,2,5,1,0,3,0,3,0,3,0.0,4,29,7.25,2,0,0,0,2,0,1,15275,4,0,0,0,3,0,1,0,0,0.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,1.0,31.0,LOW,1,1,0,31.0,0.0,0,0,1,997,new_logo,107,0.3333333333333333,0.5,0,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.0,1.75,0.0,3.0,1,0,1,1,1,0,0.030939226519337018
OPP-29UZDL22,ACC-P0SJBOYX,213558,0,0,0,0,12,2,0.011121408711770158,33,79,64.16666666666667,98,3,2,6,1,0,12,0,12,0,12,0.0,4,44,11.0,4,0,0,0,3,0,1,11320,4,0,0,1,2,1,2,0,0,3.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,1.0,73.0,LOW,1,1,0,73.0,0.0,0,0,1,9999,new_logo,0,0.6666666666666666,0.75,0,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,3.0,0.25,3.0,1,0,1,1,1,0,0.04448563484708063
OPP-RYVB626H,ACC-RF346YZM,58049,0,0,0,0,18,6,0.017126546146527116,0,66,69.5,97,2,1,3,1,0,17,0,17,0,17,0.0,9,90,10.0,3,0,0,0,3,0,3,20216,4,0,0,1,1,1,2,0,1,3.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,1.0,32.0,LOW,1,1,0,32.0,0.0,0,0,1,9999,new_logo,62,1.0,1.0,1,1,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.0,4.5,0.25,1.0,0,1,1,1,1,0,0.06850618458610847
OPP-K8O9MJT9,ACC-4B3XODOK,86372,1,0,0,0,14,2,0.2692307692307692,1,1,16.0,16,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,1,1,1,2,2,0,1,7.5,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,3.0,16.0,LOW,0,4,1,16.0,0.0,0,0,1,9999,new_logo,0,1.0,1.0,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,3.5,0.5,2.0,1,1,1,0,0,0,1.0769230769230769
OPP-EH5J0HQR,ACC-ZFTR26HG,117081,0,0,0,0,10,2,0.35714285714285715,8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,1,0,1,4.5,0,0,0,0,0.0,0,0.0,9999,9999,DECREASING,-0.25,0.0,MEDIUM,0,3,4,0.0,0.0,0,0,1,9999,new_logo,120,0.3333333333333333,0.5,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,2.5,0.25,3.0,1,0,1,0,0,0,1.4285714285714286
OPP-VDS91KV4,ACC-H7F04MHH,56988,0,0,0,0,11,2,0.36666666666666664,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,3,0,0,0.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,0.5,0.0,LOW,0,3,2,0.0,0.0,0,0,1,1023,new_logo,0,0.6666666666666666,0.75,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.0,2.75,0.0,1.0,0,0,1,0,0,0,1.4666666666666666
OPP-4KRGJ49T,ACC-W7WZ3011,99330,0,0,0,0,10,3,0.033112582781456956,1,46,51.5,56,0,2,2,1,0,8,0,8,0,8,0.0,3,33,11.0,3,0,0,0,3,0,0,7615,4,0,1,0,0,2,1,0,2,7.5,1,2,2,0,1.0,111119,55559.5,48,9999,INCREASING,1.0,56.0,LOW,1,3,0,56.0,0.0,0,0,1,547,new_logo,746,0.3333333333333333,0.5,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.0,2.5,0.5,2.0,1,0,1,1,0,0,0.13245033112582782
OPP-L3RQWJE6,ACC-S88DEU4Y,51861,1,0,0,0,8,2,0.2962962962962963,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0.0,0,0,0,0,0.0,0,0.0,9999,9999,STABLE,0.0,0.0,LOW,0,1,1,0.0,0.0,0,0,1,9999,new_logo,668,0.3333333333333333,0.5,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.0,2.0,0.0,1.0,0,0,1,0,0,0,1.1851851851851851
OPP-3E4L6BGL,ACC-31QLN7VR,52373,0,0,0,0,10,2,0.011494252873563218,50,32,58.0,66,0,2,2,0,0,9,0,9,1,9,0.0,11,82,7.454545454545454,4,1,0,0,8,0,0,23798,4,0,0,1,1,1,1,0,1,3.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,1.0,50.0,LOW,1,1,0,50.0,0.0,0,0,1,1222,new_logo,67,1.0,1.0,1,1,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.0,2.5,0.25,1.0,0,0,1,1,0,0,0.04597701149425287
OPP-E0H5TD3R,ACC-NVK0HD82,43294,0,0,0,0,18,6,0.4,2,1,0.0,0,0,0,0,0,0,1,0,1,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,2,0,0,3.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,4.0,0.0,LOW,0,5,1,0.0,0.0,0,0,1,1480,new_logo,0,0.3333333333333333,0.5,0,1,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0,4.5,0.25,1.0,0,1,1,0,0,0,1.6
OPP-6K0LARZQ,ACC-1QT0RZOJ,51051,0,0,0,0,12,7,0.3157894736842105,0,2,56.0,56,0,1,1,0,0,0,0,0,0,0,0.0,1,15,15.0,1,0,0,0,0,0,1,4107,4,0,0,0,2,0,2,0,0,0.0,0,0,0,0,0.0,0,0.0,9999,9999,STABLE,0.0,56.0,LOW,0,2,2,56.0,0.0,0,0,1,1185,new_logo,46,0.3333333333333333,0.5,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0,3.0,0.0,1.0,0,0,1,0,0,0,1.263157894736842
OPP-WLOMB454,ACC-62G9IJYQ,92803,0,0,0,0,17,5,0.4358974358974359,0,8,0.0,0,0,0,0,0,0,1,0,1,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,1,2,0,2,1,0,1,7.5,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,4.0,0.0,LOW,0,5,1,0.0,0.0,0,0,1,1124,new_logo,0,0.6666666666666666,0.75,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,4.25,0.5,2.0,1,1,1,0,0,0,1.7435897435897436
OPP-TBOUNMAA,ACC-K3BW719F,79581,1,0,0,0,14,7,0.28,0,1,72.0,72,1,0,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,1,1,2,2,0,1,6.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,1.0,72.0,LOW,0,2,1,72.0,0.0,0,1,0,1076,expansion,469,1.0,1.0,1,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.0,3.5,0.5,2.0,0,1,1,0,1,0,1.12
OPP-X8H3GBSY,ACC-JGW2LO73,20726,0,0,0,0,8,4,0.03088803088803089,2,90,0.0,0,0,0,0,0,0,4,0,4,0,4,0.0,1,13,13.0,1,0,0,0,1,0,0,3726,4,0,1,1,0,4,0,0,3,13.5,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,1.0,0.0,LOW,1,1,0,0.0,0.0,0,0,1,284,new_logo,399,0.6666666666666666,0.5,1,1,0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,0.0,2.0,1.0,0.0,0,0,1,0,0,0,0.12355212355212356
